ExactIndependenceArm	ExactIndependenceProperty	9
IdealProximityArm	IdealProximityProperty	7
InputIndistinguishabilityArm	InputIndistinguishabilityProperty	12
PortProp	EvidenceProp	5
SecurityArm	SecurityProperty	5
SecurityPort	SecurityEvidence	7
ab_arm	ab_security_property	10
ab_port	ab_evidence	10
certify_exact_armE	certify_exact_propertyE	4
certify_idealproximity_armE	certify_idealproximity_propertyE	2
certify_indistinguishability_armE	certify_indistinguishability_propertyE	2
conclude_armE	conclude_propertyE	3
five_card_biased_branch_indistinguishability_published_armE	five_card_biased_branch_indistinguishability_published_propertyE	2
five_card_biased_indistinguishability_published_armE	five_card_biased_indistinguishability_published_propertyE	2
five_card_biased_proximity_published_armE	five_card_biased_proximity_published_propertyE	2
five_card_biased_published_arm_neq	five_card_biased_published_property_neq	2
five_card_biased_published_inv25_armE	five_card_biased_published_inv25_propertyE	3
five_card_repeated_indistinguishability_published_armE	five_card_repeated_indistinguishability_published_propertyE	2
five_card_repeated_published39_armE	five_card_repeated_published39_propertyE	3
five_card_uniform_published_armE	five_card_uniform_published_propertyE	3
pgg_tableau_arm_relations	pgg_tableau_security_property_relations	1
pgl27_exact_published_armE	pgl27_exact_published_propertyE	3
pgl27_prior_exact_published_armE	pgl27_prior_exact_published_propertyE	3
pgl27_word_arm_is_not_exact	pgl27_word_property_is_not_exact	1
pgl27_word_branch_published39_armE	pgl27_word_branch_published39_propertyE	3
pgl27_word_proximity_published_armE	pgl27_word_proximity_published_propertyE	3
pgl27_word_published39_armE	pgl27_word_published39_propertyE	3
pgl27_word_published_armE	pgl27_word_published_propertyE	3
pgl27_word_published_arm_neq	pgl27_word_published_property_neq	3
port_arm	evidence_property	4
port_conclude	evidence_conclude	4
psl211_alldecks_published_armE	psl211_alldecks_published_propertyE	2
psl211_word_proximity_published_armE	psl211_word_proximity_published_propertyE	2
publish_armE	publish_propertyE	5
s5_rand_published_armE	s5_rand_published_propertyE	2
security_arm_of	security_property_of	29
